,Name,STATE_FIPS,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Alabama,1,4052.365555555555,3430.0226946107787,3161.597894736842,2536.860875912409,2739.4724615384616,3378.15723880597,3398.1408029197087,3874.01345323741,3977.8735416666664,3712.5551773049647,3889.4477697841726,4306.064071428572,5472.882653061225,6817.801595092024,8159.846589595375,8995.926477272727,9344.278222222221,8295.430666666667,7744.497085201794,7842.618132780082,7508.795,8091.872738589211,8622.737115384614,8953.883849056605,9328.74370786517,9083.927249070633,10190.5075,10695.30044117647,10849.006298932385,10897.588788927336,11250.290790378007,11292.183986486487,11386.963846153847,11842.158245033113,12325.360980392157,13079.836451612904,13825.717777777778,14362.060277777779,14734.96640718563,15510.778505747128,16063.969373297,16471.796984536082,17083.501851851852,18189.45282296651,19134.381081081083,18934.08695740365,19001.278903345727,20069.955202108962,20593.427871287127,21387.89110429448,21273.44163911846,20547.64567961165,20561.56594059406,20419.92067357513,21072.444487951812,22300.284889316652,23094.628912639408,23884.858339416063,24384.698450704225,25102.461149619612,25777.31260483871,25987.374016832444,26046.871013215863,26701.67565217391,26710.97001384083,27302.077058029692,27708.213720472442,27796.83029318037,28242.693289719628,29117.803993865033,29601.212599039616,29241.567520325207,29639.055782044044,30005.366631461922,30390.79839673913,31419.619401799893,31963.047050691242,32599.833621031747,33098.019484716075,32702.23732600103,32274.0
1,Arizona,4,7527.614035087719,6680.194011976048,6055.024539473685,5026.7428467153295,5082.876615384615,5795.701044776119,6514.408175182482,7130.654244604317,7508.795,7272.956453900709,7562.815107913669,7738.6560714285715,9311.19768707483,12069.351472392636,12450.586589595376,12799.082386363636,13396.643777777777,12289.119435897437,11409.905022421526,11786.182074688795,11763.478361344538,12168.965933609958,13392.059653846154,13892.282716981132,13788.220674157303,13526.198959107809,14024.956119402985,14591.670955882353,14452.617117437723,13993.157266435988,14553.128453608248,14923.36766891892,15089.341505016722,15394.095331125827,15452.272810457516,15986.466774193548,16427.40457142857,17129.852438271606,17689.66760479042,19061.73574712644,20395.62923705722,21249.115747422682,21956.934938271606,23029.36648325359,23816.506148648652,23190.01365111562,22043.876133829,22901.541968365553,23514.10485148515,24961.314141104293,25425.29404958678,24968.565898058252,25154.40424642464,24332.719844559586,25102.552188755024,26605.47877767084,27530.919107806694,28310.66269160584,28573.457834507044,28644.225824175825,28664.911419354838,28250.928133129306,27664.561901615278,27724.663913043478,27846.75413148789,28625.199986504726,29046.958385826772,29549.771236456345,30450.887208722743,31763.321601226995,32436.80968187275,31866.59341463415,31777.157447769623,31565.202073374094,31604.56479347826,32655.279835892004,33692.08564772145,34640.91480158731,34631.44654725044,33326.010157777644,32077.0
2,Arkansas,5,3889.267251461988,2929.008143712575,3034.569407894737,2458.562700729927,2590.9468461538463,2993.9118656716414,3241.544452554745,3812.2761870503596,3813.991111111111,3514.7551063829787,3843.1448201438848,3984.2585714285715,4991.268979591837,6330.815766871166,6932.149306358381,8374.256761363637,8819.854444444443,8317.434461538462,7128.785515695068,7887.127883817427,7328.5118067226895,7539.951825726141,7896.611884615384,8314.320716981132,8565.409812734082,8565.529293680298,9414.011641791045,9701.489338235295,9497.652241992882,9754.381245674742,10409.836563573883,10183.259628378379,10841.652408026755,11181.497947019869,11610.237647058824,12297.814483870969,12844.977206349206,13865.446851851852,14253.221646706588,14851.138879310347,15309.874741144413,15752.987448453609,16400.16177777778,17527.36495215311,19255.178941441445,19042.878539553752,18562.634479553904,19436.524340949032,20073.016336633664,21417.50510736196,20945.43052341598,19750.94274271845,20212.264774477448,19901.91941968912,20411.170803212855,21804.723002887393,22458.59449814127,22968.769689781024,23009.84866197183,23604.510498732037,23898.383717741937,23815.740879877583,24029.089096916305,25115.967391304348,25232.223633217993,25695.220985155196,26107.632559055117,26583.992058636075,27039.682074766355,27981.942453987733,28644.42393757503,27729.094128919864,28506.40702428007,28536.1638299055,29235.33009782609,30056.758628904183,30221.92495647721,30904.608219246034,32148.163854887094,31686.862700473288,31493.0
3,California,6,12433.109181286549,11394.869401197606,10571.592960526317,9082.588321167885,9010.554,9654.164999999999,10335.359124087592,11899.858057553956,11844.230208333332,11731.065744680851,12054.201223021582,12933.516285714286,14784.080340136055,16926.047975460122,19209.122138728322,19296.14039772727,18867.337277777777,18384.170615384617,16287.495112107625,15694.138215767633,15720.694453781514,16708.960539419084,17162.96,17867.289018867927,18070.925580524345,17761.11148698885,19044.16130597015,19679.037316176473,19690.068434163702,19271.212871972322,20200.391065292097,20460.741587837838,20664.433444816055,21340.038013245034,21748.16254901961,22657.875419354838,23272.156476190477,24254.59972222222,24909.415748502994,25935.550545977014,26539.454495912803,26623.599355670103,26666.15451851852,27977.061889952154,28735.395022522527,28516.449513184587,28276.61462825279,29465.846309314587,30339.638448844886,31647.497944785275,32050.52757575758,31318.756953883498,31165.688503850386,30622.09987564767,31213.410311244985,32886.72568816169,33713.81164498142,34506.00580291971,35173.86993838028,35749.5171682164,35926.29681451613,35929.612800306044,34691.3574743025,34744.90173913044,34039.3757716263,33979.9392780027,34483.58498687664,34953.533021032505,35768.1967788162,37221.51141104295,38516.21650660264,40210.11425667829,39672.99124788256,39234.392996108945,39410.6800923913,40503.086453149815,41153.095908858166,42746.7100843254,43398.46915241485,42226.23209616215,40902.0
4,Colorado,8,7954.178830409356,7425.292574850299,6647.824144736843,5543.510802919709,5825.5046923076925,5891.762388059701,6952.87795620438,8365.399568345323,7925.950277777777,7698.987375886525,7964.107338129496,8351.618928571428,9471.735578231293,11779.792331288343,12884.620982658958,12981.926420454545,14171.360722222222,13323.297794871796,13074.250358744395,12943.43560165975,12890.248319327731,13539.866265560164,14819.555846153846,15219.983396226415,14567.624756554307,14140.30115241636,14961.55421641791,15459.283823529413,16063.553309608542,16012.32903114187,16669.00883161512,16960.019594594596,17342.338762541807,17553.673079470198,17800.962189542483,18256.40664516129,19069.955555555556,19745.349814814814,20181.89383233533,20843.379224137934,21547.23111716621,22421.328221649484,23376.587185185184,24589.63557416268,25657.465540540543,25518.15350912779,25206.10366171004,25997.05826010545,26788.803283828383,28097.10802147239,28356.708705234163,28142.359623786408,28654.496336633663,28779.082538860104,29229.589257028118,30458.472444658328,30737.011078066917,30872.97047445256,31003.995853873243,31346.340194420965,32090.582870967744,32341.41171384851,32270.334207048465,32795.260434782605,33444.01703806229,34016.12973009447,35003.03480971129,35866.9219056724,37360.1816199377,39301.07251533742,40622.95439375751,41049.82353658537,41463.42425748165,40502.057426347965,39749.975021739134,40366.80037586024,41070.70842805939,42207.17506944445,42593.4716796404,41570.57311324041,40093.0
5,Connecticut,9,12847.127953216373,11831.65131736527,11305.53532894737,9708.97372262774,9621.159307692307,10454.67619402985,11055.702335766424,12440.059136690646,12812.626388888888,11700.634964539007,12903.088633093525,14067.497571428572,16710.535034013606,18663.40282208589,19754.76537572254,19491.17403409091,18652.800277777777,17382.99794871795,16374.079551569508,15311.354356846472,14990.547521008404,16833.58784232365,17806.571,18604.000981132078,19227.979063670413,18742.07992565056,19828.6622761194,21169.753970588237,21453.7,20273.375328719725,20878.65237113402,21207.272364864864,21826.80782608696,22554.800496688742,22785.79248366013,23536.78506451613,24402.732412698413,25651.738827160494,26945.590269461078,27390.456637931038,28334.082806539507,28144.157989690724,28075.212345679014,29239.64806220096,30155.977860360363,29647.88196754564,28866.79076208179,29729.775834797892,30842.34891089109,31983.123312883432,32419.909462809923,32386.234745145633,32723.38289328933,33132.07161658031,34030.82392570282,36299.90818094322,37410.387834572495,39223.47085766424,41349.362808098595,43536.68435333897,44632.34668548387,43885.70185156848,42313.564104258454,43786.65,43949.6489550173,44198.67533063428,44972.52978346457,45767.89333333333,47580.43023052959,49293.49523926381,50608.06782713085,50631.72868757259,51216.31746470921,50111.502373540854,49434.4550326087,51117.50043938592,51653.65496159754,54414.28780257937,55801.43149964792,54334.00155130212,52736.0
6,Delaware,10,12947.496140350877,11009.473592814371,10938.564144736843,9239.184671532848,9307.60523076923,10326.594402985074,10977.404160583943,13396.986762589928,14138.58423611111,12096.23510638298,13875.450575539568,15737.821357142857,16987.82775510204,16991.856871165644,18155.038612716762,18333.16181818182,18187.97011111111,17217.96948717949,16008.500807174889,14999.78609958506,16270.558193277311,18471.546680497922,17781.81673076923,18166.831245283018,18810.154194756553,18391.164386617103,20068.815634328355,21682.43430147059,20193.963167259786,19679.501280276818,20082.43257731959,20330.27989864865,20198.04866220736,20835.662947019868,21376.57885620915,22214.960322580646,23619.502095238095,23903.659567901235,24312.05224550898,25146.448936781613,25843.816811989098,25479.033402061857,25913.950716049385,27217.45720095694,28368.169527027032,27620.00687626775,26833.075706319705,27708.829753954305,28013.717508250826,28488.670950920245,28217.82111570248,28126.737997572818,28021.97800880088,28294.429005181348,29141.275833333337,30592.687122232917,32013.067583643126,32848.04194343066,33867.00722711268,35022.30383770076,36211.769435483875,35514.326947207344,35192.25883994127,35313.73826086956,35369.65364013841,35510.07159244265,35743.49715879265,36426.16749521989,36631.691495327104,38920.69709815951,39633.97230492197,38939.337601626015,39568.811789949184,39905.79005558643,39786.11984239131,40883.55175224987,40970.74495135688,41883.66689484127,41647.7548542987,40553.2056032661,40135.0
7,Florida,12,6498.840116959064,6037.867664670659,5617.481973684211,4995.423576642336,4752.819692307692,5571.557910447761,5888.022773722629,6945.442446043166,7255.522152777778,6999.079432624114,7639.986690647482,7999.165285714286,8887.961428571429,10358.320184049078,12512.591502890173,13579.216931818182,13992.579888888888,12861.218102564104,11227.115650224216,10691.242199170123,10889.10487394958,11608.143070539418,11452.97523076923,11933.114641509434,12590.991722846442,12457.501635687733,13392.552276119402,14126.314963235294,14017.435302491103,14008.00411764706,14818.535051546392,14662.444290540541,14630.1318729097,15010.486125827814,15424.228758169935,16249.447612903226,17013.124634920634,17778.76064814815,18685.273443113772,20029.618189655175,21389.397356948226,22150.39231958763,22703.8415308642,24137.978732057418,25295.071959459463,24438.941014198786,23507.353438661714,24040.20934973638,24816.903795379538,26063.613144171777,26237.934201101933,26163.62030339806,26421.801045104512,26209.084901554404,27219.920371485947,28420.474186718,29319.39205390335,30189.818895985405,31000.218794014087,31904.898064243447,32950.461008064514,32590.911514919666,31800.936071953016,31593.36391304348,32146.402242214535,32339.78798920378,33098.385459317586,33658.653868706184,34382.06052336449,35444.671226993865,35773.33649459784,35064.71466318235,34950.99674760023,35178.582340188994,35301.830157608696,36867.6553414505,37854.30117767537,39304.11487103175,39092.04308340809,37673.48757797151,36565.0
8,Georgia,13,4353.470116959064,3943.88377245509,3613.2547368421056,3131.9270072992704,3366.580615384615,3906.4946268656713,4196.782189781023,4661.163597122302,4663.200069444444,4412.463120567376,4769.20381294964,5164.212071428572,6115.034217687075,7462.728773006134,8990.712427745664,10129.559488636363,10476.556833333332,9296.603333333334,8533.377533632287,8795.126804979252,8734.720714285715,9480.576970954357,9934.713384615385,10362.541886792453,10654.534157303371,10383.909814126395,11391.274291044776,11823.197169117648,11627.752704626335,11751.282733564016,12238.193127147766,12306.886013513513,12513.462474916389,13099.543973509933,13748.596633986928,14408.581741935484,15378.557015873015,16302.163395061729,17053.764520958084,17822.599626436782,18484.08702997275,18766.45819587629,19419.57140740741,20724.89009569378,21729.119121621625,21179.545212981746,20544.509739776953,21468.781687170474,22023.674537953797,22996.91860429448,22818.93545454546,22062.9434223301,22267.94933993399,22351.865264248703,23368.59350401607,25160.089942252165,26205.016644981417,27384.786770072995,27988.013556338028,28791.119289940827,29071.493637096773,29115.970206579957,28808.129170337743,29562.678695652172,29885.226802768168,30646.074831309044,31293.684448818898,32250.284780114725,32811.4625482866,34396.99360736196,35206.732172869146,34809.313472706155,34640.88115189159,34178.045692051135,33882.85445652174,34065.84073583907,34600.5449359959,34839.91489583333,35071.194524023114,34005.583754058236,33086.0
9,Idaho,16,6360.833859649122,6461.803053892216,5278.739342105264,4290.740000000001,3746.1460769230766,6452.120223880596,6248.194379562045,7331.300359712231,6302.024375,6481.756170212766,6744.796330935252,7095.045071428572,8698.234829931973,12029.866134969325,12711.007225433525,13347.614488636364,13527.749722222221,13235.282615384616,12294.990403587444,11973.123029045642,11511.081890756303,11830.69182572614,12352.380346153846,13309.389735849058,12454.395131086143,12433.57557620818,12776.158656716418,13629.409411764706,13612.79256227758,13488.364325259517,13941.21879725086,13756.460337837838,14170.922240802676,14861.304768211921,15199.87633986928,15571.233870967742,17394.523746031748,17156.33848765432,17696.090868263473,17939.731896551726,19109.576376021796,19673.264072164948,19922.80634567901,21299.726076555024,22753.48497747748,23420.651805273836,22215.346226765803,23059.899683655538,23046.796534653466,24082.76538343558,23327.20493112948,22742.48416262136,22197.14504950495,21389.22774093264,22218.365010040165,22855.727170356113,23222.234563197027,23426.81401459854,23816.25094190141,24569.292273879968,25611.219443548387,26043.183182861518,25509.74093245228,26356.092173913043,27107.38094117647,27281.8104048583,27633.60439632546,27829.646660293183,27843.026230529595,28854.568411042947,29405.47656062425,30124.881881533103,30434.93838509317,30391.747887715395,30212.406217391304,31625.184235045,31859.78807475678,32940.36854166667,33284.265686643324,32207.005541028226,30987.0
